"HealthTopic","Population","Indicator","Unit","Time","RegionCode","RegionName","NumValue","TxtValue"
"Campylobacteriosis","Disease surveillance|Confirmed cases","Reported cases","N","2008","IS","Iceland",98.000000000,""
"Campylobacteriosis","Disease surveillance|Confirmed cases","Reported cases","N","2008","IT","Italy",265.000000000,""
"Campylobacteriosis","Disease surveillance|Confirmed cases","Reported cases","N","2008","LI","Liechtenstein",2.000000000,""
"Campylobacteriosis","Disease surveillance|Confirmed cases","Reported cases","N","2008","LT","Lithuania",762.000000000,""
"Campylobacteriosis","Disease surveillance|Confirmed cases","Reported cases","N","2008","LU","Luxembourg",467.000000000,""
"Campylobacteriosis","Disease surveillance|Confirmed cases","Reported cases","N","2008","LV","Latvia",0.000000000,""
"Campylobacteriosis","Disease surveillance|Confirmed cases","Reported cases","N","2008","MT","Malta",77.000000000,""
"Campylobacteriosis","Disease surveillance|Confirmed cases","Reported cases","N","2008","NL","Netherlands",3341.000000000,""
"Campylobacteriosis","Disease surveillance|Confirmed cases","Reported cases","N","2008","NO","Norway",2875.000000000,""
"Campylobacteriosis","Disease surveillance|Confirmed cases","Reported cases","N","2008","PL","Poland",270.000000000,""
"Campylobacteriosis","Disease surveillance|Confirmed cases","Reported cases","N","2008","SE","Sweden",7692.000000000,""
"Campylobacteriosis","Disease surveillance|Confirmed cases","Reported cases","N","2008","SI","Slovenia",898.000000000,""
"Campylobacteriosis","Disease surveillance|Confirmed cases","Reported cases","N","2008","SK","Slovakia",3064.000000000,""
"Campylobacteriosis","Disease surveillance|Confirmed cases","Reported cases","N","2008","UK","United Kingdom",55609.000000000,""
"Campylobacteriosis","Disease surveillance|Confirmed cases","Reported cases","N","2009","AT","Austria",4502.000000000,""
"Campylobacteriosis","Disease surveillance|Confirmed cases","Reported cases","N","2009","BE","Belgium",5697.000000000,""
"Campylobacteriosis","Disease surveillance|Confirmed cases","Reported cases","N","2009","BG","Bulgaria",26.000000000,""
"Campylobacteriosis","Disease surveillance|Confirmed cases","Reported cases","N","2009","CY","Cyprus",37.000000000,""
"Campylobacteriosis","Disease surveillance|Confirmed cases","Reported cases","N","2009","CZ","Czechia",20259.000000000,""
"Campylobacteriosis","Disease surveillance|Confirmed cases","Reported cases","N","2009","DE","Germany",62787.000000000,""
"Campylobacteriosis","Disease surveillance|Confirmed cases","Reported cases","N","2009","DK","Denmark",3353.000000000,""
"Campylobacteriosis","Disease surveillance|Confirmed cases","Reported cases","N","2009","EE","Estonia",170.000000000,""
"Campylobacteriosis","Disease surveillance|Confirmed cases","Reported cases","N","2009","ES","Spain",5106.000000000,""
"Campylobacteriosis","Disease surveillance|Confirmed cases","Reported cases","N","2009","EU27_21","EU (without UK)",136668.000000000,""
"Campylobacteriosis","Disease surveillance|Confirmed cases","Reported cases","N","2009","EU27_UK_21","EU (with UK until 2019)",201711.000000000,""
"Campylobacteriosis","Disease surveillance|Confirmed cases","Reported cases","N","2009","EUEEA30_21","EU/EEA (without UK)",139590.000000000,""
"Campylobacteriosis","Disease surveillance|Confirmed cases","Reported cases","N","2009","EUEEAUK_21","EU/EEA (with UK until 2019)",204633.000000000,""
"Campylobacteriosis","Disease surveillance|Confirmed cases","Reported cases","N","2009","FI","Finland",4050.000000000,""
"Campylobacteriosis","Disease surveillance|Confirmed cases","Reported cases","N","2009","FR","France",3956.000000000,""
"Campylobacteriosis","Disease surveillance|Confirmed cases","Reported cases","N","2009","HU","Hungary",6579.000000000,""
"Campylobacteriosis","Disease surveillance|Confirmed cases","Reported cases","N","2009","IE","Ireland",1810.000000000,""
"Campylobacteriosis","Disease surveillance|Confirmed cases","Reported cases","N","2009","IS","Iceland",74.000000000,""
"Campylobacteriosis","Disease surveillance|Confirmed cases","Reported cases","N","2009","IT","Italy",531.000000000,""
"Campylobacteriosis","Disease surveillance|Confirmed cases","Reported cases","N","2009","LT","Lithuania",812.000000000,""
"Campylobacteriosis","Disease surveillance|Confirmed cases","Reported cases","N","2009","LU","Luxembourg",523.000000000,""
"Campylobacteriosis","Disease surveillance|Confirmed cases","Reported cases","N","2009","LV","Latvia",0.000000000,""
"Campylobacteriosis","Disease surveillance|Confirmed cases","Reported cases","N","2009","MT","Malta",132.000000000,""
"Campylobacteriosis","Disease surveillance|Confirmed cases","Reported cases","N","2009","NL","Netherlands",3782.000000000,""
"Campylobacteriosis","Disease surveillance|Confirmed cases","Reported cases","N","2009","NO","Norway",2848.000000000,""
"Campylobacteriosis","Disease surveillance|Confirmed cases","Reported cases","N","2009","PL","Poland",359.000000000,""
"Campylobacteriosis","Disease surveillance|Confirmed cases","Reported cases","N","2009","RO","Romania",254.000000000,""
"Campylobacteriosis","Disease surveillance|Confirmed cases","Reported cases","N","2009","SE","Sweden",7178.000000000,""
"Campylobacteriosis","Disease surveillance|Confirmed cases","Reported cases","N","2009","SI","Slovenia",952.000000000,""
"Campylobacteriosis","Disease surveillance|Confirmed cases","Reported cases","N","2009","SK","Slovakia",3813.000000000,""
"Campylobacteriosis","Disease surveillance|Confirmed cases","Reported cases","N","2009","UK","United Kingdom",65043.000000000,""
"Campylobacteriosis","Disease surveillance|Confirmed cases","Reported cases","N","2010","AT","Austria",4404.000000000,""
"Campylobacteriosis","Disease surveillance|Confirmed cases","Reported cases","N","2010","BE","Belgium",6047.000000000,""
"Campylobacteriosis","Disease surveillance|Confirmed cases","Reported cases","N","2010","BG","Bulgaria",6.000000000,""
"Campylobacteriosis","Disease surveillance|Confirmed cases","Reported cases","N","2010","CY","Cyprus",55.000000000,""
"Campylobacteriosis","Disease surveillance|Confirmed cases","Reported cases","N","2010","CZ","Czechia",21075.000000000,""
"Campylobacteriosis","Disease surveillance|Confirmed cases","Reported cases","N","2010","DE","Germany",65108.000000000,""
"Campylobacteriosis","Disease surveillance|Confirmed cases","Reported cases","N","2010","DK","Denmark",4037.000000000,""
"Campylobacteriosis","Disease surveillance|Confirmed cases","Reported cases","N","2010","EE","Estonia",197.000000000,""
"Campylobacteriosis","Disease surveillance|Confirmed cases","Reported cases","N","2010","ES","Spain",6340.000000000,""
"Campylobacteriosis","Disease surveillance|Confirmed cases","Reported cases","N","2010","EU27_21","EU (without UK)",145097.000000000,""
"Campylobacteriosis","Disease surveillance|Confirmed cases","Reported cases","N","2010","EU27_UK_21","EU (with UK until 2019)",215395.000000000,""
"Campylobacteriosis","Disease surveillance|Confirmed cases","Reported cases","N","2010","EUEEA30_21","EU/EEA (without UK)",147834.000000000,""
"Campylobacteriosis","Disease surveillance|Confirmed cases","Reported cases","N","2010","EUEEAUK_21","EU/EEA (with UK until 2019)",218132.000000000,""
"Campylobacteriosis","Disease surveillance|Confirmed cases","Reported cases","N","2010","FI","Finland",3944.000000000,""
"Campylobacteriosis","Disease surveillance|Confirmed cases","Reported cases","N","2010","FR","France",4324.000000000,""
"Campylobacteriosis","Disease surveillance|Confirmed cases","Reported cases","N","2010","HU","Hungary",7180.000000000,""
"Campylobacteriosis","Disease surveillance|Confirmed cases","Reported cases","N","2010","IE","Ireland",1660.000000000,""
"Campylobacteriosis","Disease surveillance|Confirmed cases","Reported cases","N","2010","IS","Iceland",55.000000000,""
"Campylobacteriosis","Disease surveillance|Confirmed cases","Reported cases","N","2010","IT","Italy",457.000000000,""
"Campylobacteriosis","Disease surveillance|Confirmed cases","Reported cases","N","2010","LT","Lithuania",1095.000000000,""
"Campylobacteriosis","Disease surveillance|Confirmed cases","Reported cases","N","2010","LU","Luxembourg",600.000000000,""
"Campylobacteriosis","Disease surveillance|Confirmed cases","Reported cases","N","2010","LV","Latvia",1.000000000,""
"Campylobacteriosis","Disease surveillance|Confirmed cases","Reported cases","N","2010","MT","Malta",204.000000000,""
"Campylobacteriosis","Disease surveillance|Confirmed cases","Reported cases","N","2010","NL","Netherlands",4322.000000000,""
"Campylobacteriosis","Disease surveillance|Confirmed cases","Reported cases","N","2010","NO","Norway",2682.000000000,""
"Campylobacteriosis","Disease surveillance|Confirmed cases","Reported cases","N","2010","PL","Poland",367.000000000,""
"Campylobacteriosis","Disease surveillance|Confirmed cases","Reported cases","N","2010","RO","Romania",175.000000000,""
"Campylobacteriosis","Disease surveillance|Confirmed cases","Reported cases","N","2010","SE","Sweden",8001.000000000,""
"Campylobacteriosis","Disease surveillance|Confirmed cases","Reported cases","N","2010","SI","Slovenia",1022.000000000,""
"Campylobacteriosis","Disease surveillance|Confirmed cases","Reported cases","N","2010","SK","Slovakia",4476.000000000,""
"Campylobacteriosis","Disease surveillance|Confirmed cases","Reported cases","N","2010","UK","United Kingdom",70298.000000000,""
"Campylobacteriosis","Disease surveillance|Confirmed cases","Reported cases","N","2011","AT","Austria",5129.000000000,""
"Campylobacteriosis","Disease surveillance|Confirmed cases","Reported cases","N","2011","BE","Belgium",7716.000000000,""
"Campylobacteriosis","Disease surveillance|Confirmed cases","Reported cases","N","2011","BG","Bulgaria",73.000000000,""
"Campylobacteriosis","Disease surveillance|Confirmed cases","Reported cases","N","2011","CY","Cyprus",62.000000000,""
"Campylobacteriosis","Disease surveillance|Confirmed cases","Reported cases","N","2011","CZ","Czechia",18743.000000000,""
"Campylobacteriosis","Disease surveillance|Confirmed cases","Reported cases","N","2011","DE","Germany",70811.000000000,""
"Campylobacteriosis","Disease surveillance|Confirmed cases","Reported cases","N","2011","DK","Denmark",4060.000000000,""
"Campylobacteriosis","Disease surveillance|Confirmed cases","Reported cases","N","2011","EE","Estonia",214.000000000,""
"Campylobacteriosis","Disease surveillance|Confirmed cases","Reported cases","N","2011","ES","Spain",5469.000000000,""
"Campylobacteriosis","Disease surveillance|Confirmed cases","Reported cases","N","2011","EU27_21","EU (without UK)",151847.000000000,""
